id,label_type,WER_clean,WER_baseline
109,word_ins,0.0,0.0
1074,word_ins,0.0,0.0
10002,word_ins,0.0,0.0
1160,word_ins,0.0,0.0
1021,word_ins,0.0,0.0
1186,word_ins,0.0,0.0
1046,word_ins,0.0,0.0
1107,word_ins,0.2,0.2
1130,word_ins,0.0,0.0
101,word_ins,0.0,0.0
1035,word_ins,0.0,0.0
10016,word_ins,0.0,0.0
1174,word_ins,0.0,0.0
1029,word_ins,0.0,0.0
1084,word_ins,0.0,0.0
1019,word_ins,0.0,0.0
1098,word_ins,0.0,0.0
1032,word_ins,0.0,0.0
10011,word_ins,0.0,0.0
1173,word_ins,0.0,0.0
10026,word_ins,0.0,0.0
1076,word_ins,0.0,0.0
1041,word_ins,0.0,0.0
1023,word_ins,0.0,0.0
1100,word_ins,0.0,0.0
106,word_ins,0.0,0.0
1089,word_ins,0.0,0.0
1149,word_ins,0.0,0.0
1008,word_ins,0.0,0.0
1181,word_ins,0.0,0.0
10005,word_ins,0.0,0.0
1167,word_ins,0.0,0.0
1044,word_ins,0.0,0.0
1073,word_ins,0.0,0.0
1026,word_ins,0.0,0.0
1184,word_ins,0.0,0.0
1058,word_ins,0.0,0.0
1119,word_ins,0.0,0.0
1000,word_ins,0.0,0.0
1141,word_ins,0.0,0.0
10014,word_ins,0.0,0.0
1226,word_del,0.0,0.0
1178,word_del,0.0,0.0
1039,word_del,0.0,0.0
1012,word_del,0.0,0.0
1034,word_del,0.0,0.0
1003,word_del,0.0,0.0
1117,word_del,0.0,0.0
1061,word_del,0.0,0.0
1175,word_del,0.0,0.0
1196,word_del,0.0,0.0
123,word_del,0.0,0.0
114,word_del,0.0,0.0
1125,word_del,0.0,0.0
1006,word_del,0.0,0.0
1064,word_del,0.14285714285714285,0.14285714285714285
1053,word_del,0.0,0.0
1087,word_del,0.0,0.0
1075,word_del,0.0,0.0
1156,word_del,0.0,0.0
1103,word_del,0.0,0.0
1151,word_del,0.0,0.0
1166,word_del,1.0,0.0
1045,word_del,0.0,0.0
102,word_del,0.0,0.0
1027,word_del,0.0,0.0
1059,word_del,0.0,0.0
1118,word_del,0.0,0.0
1185,word_del,0.0,0.0
1080,word_del,0.0,0.0
1109,word_del,2.0,0.14285714285714285
1036,word_del,0.0,0.0
1122,word_del,0.0,0.0
1063,word_del,0.0,0.0
1229,word_del,0.0,0.0
1230,word_del,0.0,0.0
1159,word_del,0.0,0.0
1191,word_del,0.0,0.0
1085,word_del,0.0,0.0
116,word_del,0.0,0.0
121,word_del,0.0,0.0
1110,word_del,0.0,0.0
1033,word_del,0.0,0.0
1,word_del,0.0,0.0
1088,word_del,0.0,0.0
1163,word_del,0.0,0.0
1015,word_del,0.0,0.0
1022,word_del,0.0,0.0
1101,word_del,0.0,0.0
1136,word_del,0.0,0.0
107,word_del,0.0,0.0
1094,word_del,0.0,0.0
1180,word_del,0.0,0.0
1216,word_del,0.0,0.0
1124,word_del,0.0,0.0
1171,word_del,0.0,0.0
1146,word_del,0.0,0.0
